Date,Pair 1,Pair 2,Pair 3,Pair 4,Pair 5,Pair 6,Pair 7,Pair 8,Pair 9,Pair 10,Pair 11,Pair 12,Pair 13,Pair 14,Pair 15,Pair 16,Pair 17,Pair 18,Pair 19,Pair 20,Pair 21,Pair 22,Pair 23,Pair 24,Pair 25,Pair 26,Pair 27,Pair 28,Pair 29,Pair 30,Pair 31,Pair 32,Pair 33,Pair 34,Pair 35,Pair 36,Pair 37,Pair 38,Pair 39,Pair 40,Pair 41,Pair 42,Pair 43,Pair 44,Pair 45,Pair 46,Pair 47,Pair 48,Pair 49,Pair 50,Pair 51,Pair 52,Pair 53,Pair 54,Pair 55,Pair 56,Pair 57,Pair 58,Pair 59,Pair 60,Pair 61,Pair 62,Pair 63,Pair 64,Pair 65,Pair 66,Pair 67,Pair 68,Pair 69,Pair 70,Pair 71,Pair 72,Pair 73
2012-01-03,31.950720719618023,311.7463790087291,29.36475317071269,33.29380437236408,10.95670974202322,7.0178925102471705,37.24881251609327,51.704474385032995,27.99159413401967,42.587209549909105,179.38613284811936,227.27174671141972,231.89037011639454,252.77866354495194,157.9233228723445,50.810433097672316,623.8719171760101,111.79867179240637,250.51547049693392,229.09885080538214,128.12638119020625,160.11376592655972,68.97853405564922,121.68175030844213,36.58913035393037,50.788780242002844,250.4087133804336,229.00122037698182,128.0717801590749,121.62989565544257,10.530236186293894,23.535293148045405,36.549742051330185,110.91413697517868,225.24616813685375,69.5666600439132,338.7015271960016,132.07373942876131,35.66262932868436,26.799615302883158,52.89388897343069,28.024598061256377,10.456664995921042,6.697608377411238,108.57376864099115,51.08119083087431,38.372908525238834,32.433224528077595,36.28600343256408,27.2680660730096,41.48641332508722,110.82521436871522,248.33417316490886,227.10403303608234,201.66682758314818,127.01075454687827,158.71961757419135,120.62223858735986,111.33161804088944,52.140438661199795,130.16606468489655,332.9138769103357,68.13120991082471,167.50383444848757,47.79702617116541,164.77702486920325,39.16863038366641,47.24791346339033,148.8875590226408,61.43507551080841,113.15016342402564,106.86506081022804,104.43506042597949
2012-01-04,32.3966748213513,309.3223380253842,29.143161002813784,33.01618820784893,10.800199720601924,6.996491464666752,37.35572751168745,51.33076385535456,27.66803537599168,40.58701522952015,177.08863182689737,224.779056256718,229.1203293752186,253.69480644550725,158.31691645518396,50.92457546045183,623.6504994895694,111.92821458304542,250.3495833254944,228.97024551587486,127.94391355829566,159.53801557496362,68.65592421191681,121.01082999197408,37.08429280366455,51.00383323012477,250.74035056459303,229.3276061351458,128.14377119752933,121.2006316982567,10.678172287027323,25.529585492859795,39.69160062506752,110.74793694147519,225.73331047867305,69.4663415564011,331.09779624478347,132.38819977366967,36.75692174349119,27.26601356050497,53.80530123493375,28.43502876408615,10.545162403049424,6.823328996755505,110.07787020904719,52.46480281018994,38.52344479673507,32.56929861205371,36.80952493806252,27.302297110533218,40.19752714075456,111.28298223067952,248.91145437673836,227.65467306587755,202.33157170503802,127.21002695377132,158.62677289115788,120.3222466900066,110.62165667974581,53.04233787342184,130.28963986557196,325.664370216155,68.17690947553754,167.74066019634915,48.61381208388379,164.2802032217175,38.9434108621679,48.6250671353647,152.33905127678565,62.66791331676387,115.5516149140528,108.26261503741947,106.23329131944172
2012-01-05,32.544091872476926,313.4317394518225,29.615620889711025,32.9890252284904,10.885824822094417,7.231446712995172,37.62858844806412,52.55488829240527,28.779898411535143,41.07678748345346,177.9994052365846,225.9878702757597,230.43402838495086,254.661262421912,158.37434715234662,52.030454848645796,622.4255423076368,113.35861193822463,252.61423202512856,231.12914972295357,129.228981620733,160.5017124941831,69.72509939708816,122.13625078615122,37.28708483913367,52.03929399034543,252.6627569081146,231.17338669089446,129.25373879250532,122.16042038605232,10.739982719796915,26.231974321044007,41.80790243402968,112.39018258866204,224.5990039111093,69.90221904759333,327.69220267521877,132.05290677789094,36.99332443455607,28.22916840484034,54.20468006819374,28.75008891943175,10.58364242307845,7.004567298728736,111.09614424650874,53.09698349705561,38.53064335874917,32.34309765837148,36.83232718646741,28.116141223933447,40.344893181137714,112.00799034182299,249.62798932163184,228.39505199410934,202.09022990376036,127.70118099277002,158.62105766983888,120.70336211361338,111.11591653734139,53.5473941013438,130.0967440653017,323.67875455647027,69.11389765078795,167.62219483970742,49.11498550965217,163.40574623059135,38.83468187903863,49.87107473876644,153.93594758451383,63.149365141840896,117.1397967817887,109.99510633520678,107.84347471984742
2012-01-06,32.46473609187354,306.066246371151,29.194570296710072,31.94667779830226,10.60689706796433,7.045396156889414,36.73189479652689,51.938830969980174,28.38868693406461,39.0520600928928,173.6475467765175,221.48176294541622,225.1674366516167,254.1592968530246,157.63674671350915,52.554577403924625,622.0644561612071,113.7088638053906,252.31377757208676,230.94167502989336,129.11001695797088,159.87691048476216,70.13300943968363,122.3046028622233,37.254502956644565,52.58745907131683,252.4832894991356,231.09648192408557,129.19655383165565,122.38677389055674,10.780149248766138,26.397159587402324,42.864901662284936,111.86523280727289,224.7616016741386,70.24000260427664,330.8656416400025,131.54037552248408,36.868593403809925,28.380176947728682,54.401664832715966,28.735082911446867,10.467614374630134,6.926793691850369,110.56255657166002,53.27438178122005,38.046018458847755,31.939818076041036,36.650390921006235,28.238583448473648,39.14168827846193,111.9360091649088,248.42791349800544,227.38098072456103,200.6041818294634,127.11949441121135,157.4422408663329,120.42697161352197,110.59125642264257,53.96350885950232,129.39193245560972,325.7704491973269,68.61887106418862,166.24557366484058,48.88332184661762,160.1947388187387,38.49373110184813,50.294234839794825,153.2807227434932,62.75957201726064,117.22437478044893,109.69820298305288,107.66302623369029
2012-01-09,31.692478471653423,309.87988448576465,29.64678669463138,31.541283704228384,10.954961480866078,7.159282533470543,37.43013571536726,52.952815981668806,29.074677629057256,39.18817728579701,176.3215322508329,224.63029777598803,228.50030337869953,254.7299060873615,158.24974689840957,52.78928340649385,619.9633543858754,113.553422458095,252.5557772799723,231.0656347200462,129.2370913297399,159.8135527731958,70.76791411977266,122.43807741734533,37.38389804503534,52.82639485575405,252.74491575178007,231.23853921677812,129.33368541546164,122.52947329200398,10.876070313422346,26.02635764842427,43.60430778241239,111.65825141114426,225.92204532876343,71.34176541602794,331.99112516366324,132.20487251581824,37.174920784341275,28.76040344010804,53.71666568638727,28.83483940146322,10.666141897966469,6.959357565959738,110.77249871726939,53.15658568358835,38.17980520993687,31.234781953194727,36.92832270993368,28.608048594507096,38.83541030115185,112.24409550120677,249.6977804606746,228.44700155238905,201.65324793911935,127.7714816388588,158.0400954941584,121.05081764574581,110.80677900501333,53.89818172904293,130.11715883417813,325.96251634316985,68.85031751148905,167.1557759905173,49.3691268457422,157.97854026902857,38.65288477171984,51.11269687211032,155.23209348704904,63.57811620990299,118.83987781012871,110.81561400297842,108.81584153685995
2012-01-10,31.523534116229882,325.19290448795516,30.9593587360747,32.74919950668944,11.567348895618615,7.4420360204839495,38.823933492983855,55.15030797030866,29.839769009283685,40.73227996496775,183.9398437237436,234.28708868084655,238.58892804484037,256.9718479286377,159.3665551079293,53.14015045695916,625.3185590760438,114.72586068766452,255.2863761006189,233.54668982988898,130.7346990766193,161.08419154578678,72.12030280726793,123.78724060079543,37.453333406364116,53.169363315541446,255.43348691208973,233.6812579613448,130.80976176215512,123.85823167897468,11.035030331309162,26.487804433764214,44.38267352404417,113.43754606803319,225.95777033185095,72.21056142088867,330.724640466643,132.05713730385725,37.121639661717325,28.461188232897314,54.143157688859695,29.047173005387798,10.850475305765759,6.982006311423084,111.74572177043164,53.55711529894833,38.2611251167652,31.26757241532303,36.967676002746224,28.376501245243915,38.89178408230025,113.29079757569556,252.12878460713165,230.65631736621435,203.52142164073047,129.11385076808284,159.12779331363316,122.25153406174698,111.98913073460838,54.32925181205225,130.37365914566527,326.6623573147124,70.01852179839688,168.12597996675242,49.80151437053111,158.23888635483567,38.75233269249513,51.391653597571676,156.3469441314546,64.09104399104116,120.02146143980087,111.99800550074076,109.9962433921233
2012-01-11,31.417926442425035,326.25329999343126,30.920613033180388,32.68699757487926,11.702267925979271,7.349971524895865,39.05059900055372,55.05362982651312,29.815138559797216,40.47994241889606,183.6132332031211,234.00906800707924,238.12841287331258,257.1994024612531,158.299019306971,53.29134989824773,623.3578077740381,115.29596282753681,256.31490567672904,234.54644934646302,131.37145678453777,161.03856883525265,72.79696035892765,124.43388650190853,37.856204567519285,53.35809072593006,256.63931057193116,234.84324209834068,131.53723622432022,124.5907712150717,11.143844327664546,26.704528989110088,44.652030273042094,114.81829644740566,224.9149671797489,72.33586680280064,335.9867998498844,130.87440561463177,37.50664477840581,28.605350438378892,54.46073610339627,29.21571251138267,11.039465162812856,6.950120322878728,112.57899742962947,53.78981377746804,38.57470078223597,31.397752269273738,37.425251594512034,28.565384352109945,38.88032292263825,114.11220103889508,253.70512705886358,232.15750095657825,203.23008958858406,130.02826868791294,159.44080475114978,123.16017603288219,113.18632445306864,54.543990028412196,130.3186575461799,334.88500614797215,71.15234034443623,168.31001475632763,50.36200950997049,159.47868809482867,39.061294756259215,51.443187573216186,156.00502017717395,63.814360728696585,120.37755521170914,112.5610264517985,110.67680109421624
2012-01-12,31.561029599442087,328.38104434465805,30.983645667037344,32.82351616183442,11.785807859322848,7.33823979125302,39.28689303289535,55.58210360516743,29.99929620652918,40.66161002431495,184.0199672442201,235.03834639712213,238.8558332959369,257.8140729085352,158.26448933421875,53.444461418643606,612.9082202062701,115.19447414186058,255.8342640570059,234.08409985957388,131.15061912662821,160.41048607172314,73.00344634157875,124.20741812454938,37.82872809321271,53.517727827882354,256.1885784199089,234.40827835872602,131.33178872721084,124.3789148064514,11.239096523212229,26.950920134479702,45.28359565823595,114.58791470259395,222.9292691509765,72.07611257272302,332.70461954348747,130.7497265992577,37.550641806244926,28.665730776377302,54.86781320788809,29.295616959601958,11.11762533047316,6.94806889560253,113.28194978027419,54.30421307391403,38.72504408104987,31.43680745701347,37.565977358625105,28.68969993062182,38.940386350240445,114.544150611527,254.40768073039774,232.77818828248945,202.4186760801483,130.41242756629978,159.56470937218154,123.50682707517267,112.97365131876475,54.92126280503818,130.46118874297918,335.1788562560705,71.57277308989521,168.00969905783683,50.42775455067864,159.23782423561948,39.12083748125987,51.89200601744237,156.3022599932073,63.808718751476924,120.81304500349091,112.36820848203509,110.55149699622962
2012-01-13,31.435192820081067,318.7161791959036,30.101197201820412,31.76396580536842,11.32302219794457,7.0263594900503605,38.168622755091995,54.36367640738233,29.11872790896723,37.83524119344848,178.96162781765378,229.27812608122466,232.47784957167755,256.6054929182084,157.5467858267016,53.745874381594525,613.1729830987706,115.16379403358229,255.49569929393485,233.89846598904072,131.03336570967116,160.38495233929345,73.2695046204571,124.14671791224896,37.82576657931004,53.862820709483735,256.0591953982406,234.41401787879482,131.32178541715797,124.41979387711498,11.143210803719532,26.777098554325605,45.4563589336322,113.37556245290097,224.98988966311643,72.75678950786269,341.1847830475207,130.85828910634905,37.04593522259436,28.267597288323305,55.45784825305773,29.256448486308898,10.98098540730649,6.846187733857288,113.16220539396974,54.62110977769187,38.73493040288126,31.262610515002343,37.510458569321955,28.627935487724805,37.29589342045216,114.4509186411731,253.93129870045942,232.4646226802681,201.59238053698482,130.22442760956616,159.44337875480764,123.37871611935196,113.34604915368858,55.254715528034026,130.41763277132748,341.26610624484044,70.75349020428328,168.111972325362,49.84818926925596,159.74663009630245,39.14607021316307,52.03061745792728,155.82117988877488,63.31012059432307,120.38931550843071,112.29684837780746,110.63984829859447
2012-01-17,31.60647872966061,325.0811952303544,30.756155865631804,32.30467753380629,11.579071828024047,7.057341312784698,39.04307703242765,55.61424035241792,29.92283208300436,37.876613420371726,181.85283950293947,233.2278227605746,235.90424733959858,257.469576727733,158.41550580764078,54.357558916022526,619.9138559148431,116.20445786913444,257.0072763082415,235.14424463709793,131.7119918313701,161.31121466350083,73.93441057604507,125.03351010211063,38.18536823953087,54.386237877555345,257.1476515536451,235.27267832871215,131.78378293811875,125.10131312324083,11.226048160649851,26.979706629217503,46.051159230067725,112.24950501864224,226.3566948859084,73.4417125555689,346.31069612592046,131.91161198742884,37.271105582172446,28.570620530680475,55.81169529110622,29.549282664340225,11.107957171531353,6.802243781317081,114.17238957209634,54.87968942069588,38.97302581293129,31.34543238389196,37.846867136533106,29.013638958261808,36.82796505465339,115.23638997371026,254.8881524279605,233.2041609764289,202.40360397002513,130.6212848201144,160.0097387686838,123.99444743671498,113.89113895112865,55.40482156471934,131.00604777441282,345.3814619629628,69.81560066341457,169.13121021032848,49.79983576336323,160.7016158460204,39.3118291524583,52.589852509941046,156.6419994573362,63.60420561217353,121.19323988448704,113.16421880022912,111.3426584289434
