"Index","ORCL GOOGL","USLV GLD","USLV AAPL","USLV GOOGL","USLV AMD","USLV NVDA","USLV CSCO","USLV ORCL","USLV TTWO","USLV EA","USLV HYG","USLV LQD","USLV JNK","VOO SPY","KXI VDC","VNQ ORCL","VNQ USO","VNQ QQQ","VNQ SPY","VNQ VOO","VNQ VTI","VNQ VDC","VNQ IBB","VNQ VHT","IYR CSCO","IYR ORCL","IYR SPY","IYR VOO","IYR VTI","IYR VHT","MSFT AMD","UPRO GOOGL","UPRO ORCL","JPM IYR","CVX LQD","CVX IBB","CVX TMF","XOM PG","INTC CSCO","INTC TTWO","COST MSFT","T AAPL","T AMD","T NVDA","T QQQ","T MSFT","T WMT","VZ GOOGL","VZ CSCO","VZ TTWO","VZ EA","VZ QQQ","VZ SPY","VZ VOO","VZ VDE","VZ VTI","VZ VDC","VZ VHT","VZ IYR","VZ MSFT","VZ PG","VZ TMF","VZ JPM","VZ XOM","VZ INTC","VZ COST","VZ WMT","CMCSA ORCL","CMCSA VDC","CMCSA KXI","CMCSA VHT","CMCSA VNQ","CMCSA IYR"
"2012-01-30",-1.04332066285054,-2.07858761781133,-0.60690226671482,-0.955420155006497,-0.347796018092569,-0.28892733217613,-1.15860735617796,-1.23387993952782,-0.453773014434793,-0.675395815087655,-2.10423803989219,-1.87758170955294,-2.11680989654758,0.371880020082038,-0.164451462917443,-0.201771292972633,-1.34987028769085,-0.41220143786445,-0.705198996660725,-0.722565775288507,-0.643728169009545,-1.09811287830874,-0.180825259016427,-0.586719426369769,-0.206049781733892,-0.155665405520343,-0.678245572420463,-0.695910547699994,-0.610589400877265,-0.566173542292751,0.22543239463956,-0.48024312526807,0.328555050626183,0.14738483731273,0.587232126109637,0.174979571378083,-0.123028358105557,-0.601369385006371,-0.34819469568188,-0.156697968552844,0.175663884959968,-0.133958163024089,0.108711541138669,-0.297542537651886,-0.0883274535142119,-0.126782696159587,0.208202300358228,-0.689435741307206,0.599588651135384,0.047753039788328,-0.284314746957664,0.275372364258894,0.606699477988828,0.588861611970442,1.09838129722205,0.583212048634158,0.659590600311142,0.340686710888093,1.36095375476099,0.184143699858832,0.000331125586880272,0.0152845373002285,0.412686527839736,1.26973201428038,0.822572044523449,0.217880398636078,1.05712105671092,0.252565316368071,-0.647967775039342,-0.654694886820453,-0.268292354807036,0.597800559849574,0.555249868469634
"2012-01-31",-0.12613615895772,-0.0656672455317709,-0.241572174755771,-0.129780755322992,-0.266996779706347,-0.23200778957565,-0.107570992732059,-0.103811674840703,-0.271045680211788,-0.227985176422975,-0.05749135647367,-0.0720729299078811,-0.0571346149633199,0.337528522451657,-0.247470797046985,-0.264477845680677,-0.0441169139279051,-0.218374719185999,-0.176716617784405,-0.169922569655919,-0.18029958245718,-0.121533827459615,-0.156441506769692,-0.165660601762048,-0.236787150076023,-0.2447796856842,-0.181608834356886,-0.17479349323097,-0.185875429931587,-0.168125327406712,0.175504576238015,-0.0274801415966869,0.0187536638496414,0.18649155119101,0.26741473036737,0.190246514861978,0.159123237898144,-0.0961463883340458,-0.187405442163181,-0.132147068046396,0.114832840604593,-0.0728731068710494,0.114526293499705,-0.130303237483861,-0.0652873091015734,-0.0841698463290654,0.188954604771817,-0.120270122665924,0.133695335747614,0.0615768561058067,-0.13565122270657,0.194721700055019,0.14045545565992,0.145533045216069,0.0754184016859243,0.126981394714061,0.15856667249383,0.197271194494116,0.0724114519419548,0.13704758626115,-0.0880521496108546,0.351840056443469,0.144908915193171,0.0754508720694544,0.113188891770227,0.199001306475097,0.175548355183283,0.090949613835165,-0.316441834820953,-0.303244388958351,-0.222255624360651,0.182948164215213,0.184815249933516
"2012-02-01",-0.165220570628221,-0.0965119975381812,-0.269003840933582,-0.172847044394658,-0.28691584178389,-0.25171305820604,-0.154699306976449,-0.15052845343349,-0.294073701289555,-0.257715039203524,-0.0827169953398021,-0.106655743992866,-0.082244754777247,0.19970243971149,-0.455223962059277,-0.33808915689977,-0.0728297700211172,-0.232786967862718,-0.24822966144185,-0.239912076338643,-0.247407768592543,-0.181030610969745,-0.130764152313023,-0.210072240291884,-0.335926393361766,-0.309342004721512,-0.24946353653708,-0.240175237603208,-0.247010409906548,-0.207083536876083,0.197964955164112,-0.0462076392765762,0.0157580840715589,0.292874061095692,0.420340993602874,0.298851230229952,0.24712899857791,-0.123691569200938,-0.211421635823027,-0.130186318184038,0.093371590679641,-0.0196900786750712,0.129205381749202,-0.154092879962143,-0.0339267530829547,-0.0857289442322928,0.276911909706281,-0.147126525385751,0.164970580902282,0.0569873189812805,-0.120447843464126,0.223360369388901,0.177918418438495,0.184209694181201,0.108535413415097,0.174625052446901,0.20332292193952,0.251212062536981,0.111099241451217,0.117432838635486,-0.230316291590897,0.391943782998793,0.16765155621277,0.0840928467632375,0.144828183360547,0.210412970618625,0.224744023982127,0.00799127129522157,-0.490699008922914,-0.452312151425318,-0.276145038550059,0.186235916295411,0.174321340351844
"2012-02-02",-0.204242702454052,-0.134659806623992,-0.331705736011565,-0.222346692231299,-0.334641856341673,-0.282141240536104,-0.209955130339101,-0.205289744427662,-0.34415677348427,-0.30319538640003,-0.126433089314316,-0.148573712526236,-0.125832028467831,-0.0675140027591522,-0.410629263388774,-0.368471094439705,-0.117507881674687,-0.264759126561237,-0.328158905945357,-0.318034482465357,-0.321395608287896,-0.251631531352649,-0.100364376459548,-0.268771329414767,-0.40623971083981,-0.33108262600863,-0.327134720525717,-0.314939085095267,-0.316763461683757,-0.262052405807197,0.219567314234162,-0.0738225761195571,0.0092543477294883,0.381848568256907,0.563671607266314,0.358182773737158,0.375362262686147,-0.144925720384037,-0.223609221685752,-0.131526018994085,0.0466715216153135,0.00895679100081122,0.135870494402059,-0.18540454831478,-0.0145045066909889,-0.102101294199485,0.317275043954877,-0.183271199135411,0.196997038374637,0.0516028777827217,-0.0905331279180577,0.255988593548853,0.221871496820882,0.229796049302019,0.147493190598612,0.231855106915013,0.259666173233536,0.291498697711453,0.16442002273697,0.106988358456673,-0.385483374890371,0.513038194434646,0.192009537809389,0.080496222254221,0.173820300683634,0.278033690532666,0.290566599054408,-0.0359730145900985,-0.597076649326651,-0.562336622831847,-0.31818541071735,0.209930661875282,0.18601715085774
"2012-02-03",-0.244408015050162,-0.178976119821136,-0.360757768469255,-0.271364721950083,-0.335198478663255,-0.296384232362692,-0.265698107066515,-0.258938825958707,-0.35969049956884,-0.328839560945103,-0.168661084541778,-0.195678199057585,-0.167712790307777,-0.159836446923616,-0.414265965032552,-0.354520539964158,-0.175008886253179,-0.286493095883484,-0.430041271880274,-0.416911908008693,-0.410561588102641,-0.358534377798221,-0.0860243999298814,-0.348717089876181,-0.465978864216154,-0.306629439929497,-0.424920066160149,-0.409190684888667,-0.399392573452496,-0.337641645236103,0.234538501659501,-0.114950297438761,-0.00669451827699916,0.49402123915125,0.691048032066887,0.441519775468823,0.301045503167752,-0.180667349432142,-0.212582982170636,-0.123115618946361,0.0055411514303385,0.0498541085350958,0.14512866991216,-0.219872860083235,0.00897644608416675,-0.115690728504621,0.341659910259438,-0.209625171913686,0.233658806645951,0.0711810611134951,-0.0672028581725856,0.279434851186758,0.265653913949888,0.274602129357132,0.196233651381062,0.297509628785316,0.285174208878708,0.311873472074504,0.233759661695263,0.0886940221920736,-0.662415864657983,0.388337164736571,0.214839471443575,0.0672629657398248,0.201230438768802,0.337441090890598,0.357654893428427,-0.0563701649768977,-0.773490771204635,-0.739754132206716,-0.381044731013127,0.220439996404692,0.184424401662686
"2012-02-06",-0.279864040487317,-0.226697214670632,-0.403009291877142,-0.317732837300542,-0.349851829907604,-0.312637066736708,-0.313312717309553,-0.310461608899434,-0.379215526149412,-0.366766174033836,-0.224332634366696,-0.243541999074875,-0.222860597528506,0.0404352767423304,-0.361518269258574,-0.358552649077622,-0.265794437292139,-0.312339291974989,-0.507388963969545,-0.494845362346245,-0.467779358303592,-0.469884397697119,-0.00737330984681545,-0.415635782702186,-0.463296206974847,-0.282618122146989,-0.490944890709792,-0.476091228948928,-0.442140340159015,-0.395956971589625,0.225023089855237,-0.170634819186721,-0.0327225344311238,0.523949756288491,0.686352910353902,0.507457977184291,0.13926044717545,-0.228579042619645,-0.19408934401634,-0.111775122220323,-0.0244518936923076,0.055997657932874,0.128059283454077,-0.259160131797672,0.0152971672328887,-0.134203885734535,0.359217172333059,-0.229777500549645,0.254985672947194,0.0570997448906451,-0.0484056091320688,0.27382641693867,0.289110323069541,0.296263629077002,0.245485697556137,0.340063705935659,0.263870831246118,0.290522647371381,0.305808848200993,0.0664385074040785,-0.651944028429038,0.174272334031256,0.227409992594969,0.0365640627922018,0.215303312037046,0.35792813805942,0.398906863162769,-0.0970662737159296,-0.887128498746492,-0.864757391667776,-0.444582408103236,0.225571937658369,0.159831896524781
"2012-02-07",-0.298893617444551,-0.311634713101048,-0.473328464329245,-0.382789512771279,-0.376637209893263,-0.332375548470642,-0.392225893415433,-0.401250864571287,-0.424698370575227,-0.44405916756157,-0.294075351868257,-0.32961497743077,-0.292076946573025,0.106045635397908,-0.430453004106181,-0.417424888348015,-0.369758332315245,-0.337959508348558,-0.554993921057254,-0.54103293266175,-0.490340137258861,-0.578851819344464,0.0335879709430964,-0.476541381240207,-0.382092847561269,-0.333781024239574,-0.51810484148827,-0.50242361967166,-0.441408035401523,-0.444465889928031,0.214524655958255,-0.247345112355178,-0.0669495083278918,0.547646224834039,0.547907470574519,0.500206673629019,-0.162875538810103,-0.289978388237464,-0.119092773759096,-0.0980688990786105,-0.0637563751743234,0.0503739594778567,0.106867721827674,-0.294727701496585,-0.0172648013843836,-0.172336128903537,0.298216311962054,-0.254940685996841,0.293857095261215,0.0469747031797523,-0.0659771504698495,0.255643848993561,0.307573142283927,0.315166484645155,0.323591614977543,0.378278648678165,0.235138856771081,0.24289554825385,0.380223740869935,0.053510075001602,-0.696196898709453,-0.17104029749384,0.217201774953782,0.0195446220814569,0.21311969724602,0.414814681997236,0.43103418057693,-0.16245500573269,-0.961503917481924,-0.915726422369583,-0.507968628789848,0.23850891779466,0.153763546336249
"2012-02-08",-0.31307603982244,-0.431273755955369,-0.48500647806808,-0.45180703657618,-0.368813356137305,-0.333137388947308,-0.479566520065919,-0.504846526046222,-0.434322956657288,-0.486774784393269,-0.387248342709517,-0.441092890643345,-0.385746903955209,0.193575766808592,-0.413598102512228,-0.406009812553584,-0.49912757235322,-0.33908296163209,-0.61081624571373,-0.597398703619534,-0.522495108050493,-0.708999657775904,0.046022205302166,-0.556378761582605,-0.285387785867336,-0.308195016127573,-0.55381739663941,-0.539109538073114,-0.451433563939179,-0.513130453138342,0.229159580766302,-0.347604884256132,-0.118168606258177,0.474654073811952,0.411251186675391,0.459574397946663,-0.304410942808094,-0.34251971290951,-0.0224364217771872,-0.100501064972291,-0.0459997818082982,0.0455303355858514,0.0905575693831489,-0.322444948830694,-0.0600310947355202,-0.191888411718251,0.204095832519506,-0.256234079283437,0.381369492445428,0.0419507965422074,-0.0823086979683908,0.273502467772488,0.373614448121556,0.380546226834728,0.408176464894722,0.413862464367532,0.274775624295571,0.233867125351825,0.459592183927628,0.0669112682979166,-0.690415071168458,-0.273412623840097,0.228133177190521,-0.000802532430603266,0.226192960774505,0.411810776905273,0.399611409283427,-0.203204309088275,-1.03318933684852,-0.976002563700661,-0.553615385364058,0.245314454024804,0.135005915747537
"2012-02-09",-0.283681171779311,-0.544687719768436,-0.420226409410315,-0.492297403759953,-0.326108166602424,-0.324587300653567,-0.548667843743329,-0.58971250606602,-0.405067570053089,-0.524698535024957,-0.509732350742858,-0.542783712152032,-0.50780141982372,0.479593119812388,-0.577248899481213,-0.412440999446374,-0.627820059128383,-0.27277612413977,-0.577079710580838,-0.566642953224438,-0.460224833482274,-0.768726178101507,0.0646818712118196,-0.604355438006387,-0.245737743179567,-0.312212631630196,-0.491897244146367,-0.481208831159379,-0.360418855471175,-0.547027260013288,0.238934564308056,-0.475953931449697,-0.174888329616883,0.358308284171797,0.199266337912817,0.406125948661546,-0.546841328296719,-0.343484120594153,-0.0286456946828815,-0.0962322578108474,-0.0274674895325055,0.0723549590422059,0.0811752588788982,-0.34626951002381,-0.0781338208625825,-0.217606452989131,0.114493831267059,-0.240014865604654,0.411180515637085,0.0354167229209024,-0.14568480797202,0.305969379765367,0.44939433643081,0.455506274101886,0.541644981046387,0.474443760792439,0.344881260115562,0.20487596180851,0.548736434484297,0.0715272620684404,-0.641115808480525,-0.554183779916019,0.236547557721495,0.0240653115834849,0.255238495399922,0.392889010427063,0.34103748874392,-0.30817007662257,-1.17624623398212,-1.07372250687732,-0.653028209662843,0.156903491809648,0.0322511322613513
"2012-02-10",-0.246439425207436,-0.597642105741198,-0.368804642644517,-0.487803972128305,-0.319436047404612,-0.326346476741443,-0.546885587425487,-0.605368724869499,-0.40816755406913,-0.571834954747066,-0.604164351355293,-0.580363373365833,-0.600182682070894,0.248711571768195,-0.435142861067666,-0.412398866711284,-0.76188747614198,-0.199092900173498,-0.49484058824014,-0.48825949512987,-0.370566895703602,-0.751935064651738,0.0635636490713489,-0.627920528459427,-0.207732264549929,-0.317724850672557,-0.399251552454942,-0.392587131688794,-0.263180005772487,-0.569584436829702,0.21542869636813,-0.619722104022606,-0.257318913238238,0.336279510571028,0.0831820188546722,0.304822258890489,-0.468994408714686,-0.348773180316827,-0.043782840571351,-0.110599545042753,0.0378995677566215,0.097606768897514,0.0640715562908843,-0.366117812217813,-0.0978879097601168,-0.236363472182398,0.0471028803309565,-0.21674235348796,0.418666822789788,0.00655545142287237,-0.207924167258621,0.317364415159972,0.491267634135479,0.494987609254032,0.677300030179031,0.528465916004461,0.396465232765067,0.147308991683925,0.632653755569931,0.053677846970232,-0.545078473880184,-0.437539577532381,0.22730174216747,0.0347098106423232,0.276814241043442,0.257449323566254,0.341254681769637,-0.433506360213131,-1.08459954560776,-1.04398309250187,-0.696969475622352,0.00699763394265069,-0.125571473912407
